"Дневальный","I. Утренний блок

1. Узнать у повара обеда есть ли изменения в списке продуктов для обеда (до 6:30)
2. Принести овощи по списку и помыть их (до 7:00)
3. С 7.00 до 7.30 – посетить занятие по йоге
4. С 7.30 до 7.45 – подготовить инвентарь для чистки овощей: 
доски, ножи, запасные вёдра, овощечистки, клеёнку и т.п.
5. Вынести овощи и инвентарь к началу ШБ в 8:10 
6. Организовать нарезку овощей, по завершению – помыть, просушить и сложить клеенку,  оставить за собой чистые полы и коврики.
7. Вынести мусор после чистки овощей в мусорную зону, вставить новые мешки.
8. Помыть весь инвентарь, который использовался (до 9:30)
9. Помыть алтарную после завтрака (закончить до 10:00)

II. Обеденный блок 

1. После обеда собрать все остатки прасада с пола и вынести в ведро для прасада (начать до 14:00)
2. Протереть коврики, на которых вкушали прасад, и высушить их 
3. Вытереть пыль на всех горизонтальных поверхностях (вьясасана ШП, стойки, столы, подоконники, колонки и т.д.)
4. Вручную постирать тряпки для вьясасаны и со стойки
5. Помыть пол в алтарной(вымыть ведра, прополоскать тряпку и повесить сушиться)
6. Помыть миски и сосуды, в сосуды набрать воду 
7. Постирать вручную полотенце (со стола для чаринамриты)
8. Помыть стёкла (в субботу обязательно, в остальное время по необходимости)

III. Вечерний блок

1. Прийти на кухню сразу после Гаура-ароти и проследить за тем, чтобы молоко «не убежало» (до 18.45)
2. Вылить воду из миски возле алтаря, сполоснуть её и поставить на место
3. Когда пуджари принесет молоко, перелить его в кувшин и помыть посуду божеств
4. Раздать молоко и фрукты (начало в 19:00)
5. Помыть всю грязную посуду 
6. Оставить после себя раковину, столы и пол в чистом и сухом состоянии
7. Оставшийся прасад убрать в холодильник
8. Вынести мусор и вставить новые мусорные мешки (при необходимости)
9. Достать полотенца из стиральной машины и развесить их для сушки
10. Если на кухне никого нет – выключить свет и закрыть дверь.

Воскресный блок служения дневальным

1. В летнее время открывать окна (2 справа от алтаря и одно над входом в пуджарскую) до 12.00
2. Убирать столик справа от вьясасаны ШП на террасу до 12.00, а кувшин, чашку и полотенце занести в комнату туласи, чаринамриту поставить на прасадный стол на кухне. 
3. Подготовить инвентарь для уборки алтарной(3 черных ведра наполнить водой с мылом, две щетки с совками, 3 тряпки для мытья ковриков, 3 тряпки для мытья полов) и террасы (1 ведро для уборки двора наполнить водой с мылом и 1 тряпку для мытья двора ) до 13.00, сложить его чтобы не мешал проходу преданных.
4. Во время раздачи находиться рядом со старшим по залу держа в руках заранее подготовленную, влажную тряпку для протирки ковриков.
5. Если во время раздачи где-то разлили или рассыпали прасад – собирать его тряпкой.
6. Слушать указания старшего по залу.
7. По окончанию раздачи прасада когда делают объявление о том что «кто хочет – может помочь в уборке алтарной, обращайтесь к …» поднять руку и показать что обращаться нужно к вам
8. Занести инвентарь в алтарную и распределить задачи между преданными, самому участвовать в уборке – обязательно. Окончить уборку до начала гуру пуджи!
9. Параллельно организовать уборку террасы.
10. По окончанию уборки алтарной и террасы, вынести ведра и тряпки в душевую, помыть их, ведра и щетки с совками сразу разложить по местам, тряпки развесить сушиться на вешалке за портретом Прапхупады на входе.
11. Организовать уборку детской, после принятия прасада раздатчиками, использовать инвентарь для уборки 1,2 этажей.
12.  Закрыть окна после Гаура-ароти
13.  Вернуть на место столик справа от ШП и весь инвентарь для него
14.  Помыть все чаши и наполнить сосуды, постирать и разложить полотенце
15.  Собрать и вынести из алтарной - под лестницу, все забытые там предметы, оставленный мусор выбросить в мешок на улице.
16.  Раздать молоко и фрукты в 19.00.
17.  Поздравляю! Теперь можно расслабиться и отдохнуть!","1"
"Мойщик кухни","Мойка посуды

1. Начало уборки до 14:00
2. Всю посуду собираем и сортируем (жирная в мойке, нежирная на столе)
3. Перекладываем оставшийся прасад (если меньше 1/3 ведра) в мелкую посуду и оставляем на прасадном столе до окончания служения.
4. Выносим прасад, вчерашний и тот который уже долго лежит в прасадный бак в мусорной зоне
5. Замачиваем жирную посуду в воде с моющим средством (все поварёшки, ножи, ложки в одном ведре, а все пластмассовые ковши в другом)
6. Освобождаем один стол под вымытую посуду
7. Начинаем мыть посуду (на посуде не должно остаться жира, остатков пищи, моющего средства)
8. Вымытую посуду складываем на заранее подготовленный стол
9. Аккуратно разложить вымытую посуду на свои места
10.Почистить мойку (нет воды, нет жира, нет остатков пищи, чистое ситечко)
11.Вынести мусор в мусорную зону и вставить новые мусорные мешки

Мойка оставшейся части кухни

1. Начало уборки до 14:00
2. Протереть все поверхности (нет лишних предметов, нет крошек, жирных следов, разводов, вымытые чёрные решётки на плите)
3. При необходимости помыть духовку, конвектомат (нет жира, остатков пищи, пятен)
4. Вымыть стены возле плиты, мойки и рабочих столов
5. Протереть все полки
6. Вымыть холодильник при необходимости
7. Постирать и развесить фартуки, полотенца, прихватки которые использовались в течении дня.
8. Подмести пол
9. Вымыть пол, под столами, под холодильником и везде, куда есть доступ, вымыть ведро и тряпку
10.Вылить воду из банки с конденсатом от холодильника (при необходимости)
11.Составить тапочки под полку за входной дверью","2"
"Завтрак","1. Узнать у менеджера кухни, есть ли изменения в списке продуктов для завтрака (до 6:30)
2. Принести со склада все необходимые для приготовления завтрака продукты
3. Помыть все ингредиенты для завтрака 
4. Произвести нарезку фруктов и овощей
5. Приготовить завтрак до прихода пуджари в 8.00.
6. После приготовления напитка процедить его
7. После приготовления завтрака произвести уборку на кухне:
помыть посуду, расставить её по своим местам, протереть столы, помыть печь, газовую плиту (если использовались), помыть мойку, почистить ситечко, помыть пол (при необходимости), вынести мусор (при необходимости).
7. После завтрака нужно помыть посуду, из которой раздавали прасад: 
ковши, чашки, вёдра
8. Закончить до 10.00","3"
"Обед","Приготовить обед к 11.45","4"
"Стирщик","1. Режим стирки всего белья – «Быстро 30»
2. Поставить первую порцию белья на стирку до 4:25
3. Постирать все вещи в корзинах и развесить их в сушилке (до 10:00)
4. Следить за чистотой корзин для белья, мыть их при необходимости
5. Снять сухие вещи и разложить их аккуратно по своим местам (с 14:00-16:00)
6. Вымыть пол в сушилке до начала развешивания (использовать инвентарь для уборки 1,2 этажа)
7. Протереть пыль на всех горизонтальных поверхностях сушилки
8. Порядок стирки:
a. белая духовная одежда
b. шафрановая духовная одежда
c. кармическая одежда и другие вещи
9. Запрещено:
a. складывать на полки влажную одежду
b. стирать в машинке носки, трусы, каупины, носовые платки 
c. белое мешать с другими цветами 
d. перегружать стиральную машинку (загружать в машинку белья более чем 2/3 объема барабана)
e. оставлять влажное постиранное белье в тазу более чем на 1 час
10. Рекомендации:
a. можно начать стирку с вечера (после 17.00,таким образом, 30% белья к утру может быть сухим)
b. вещи, заброшенные после 7:00, в этот день можно не стирать
c. можно использовать функцию «Отложенный старт»
d. Если вы успеваете, то для увеличения качества стирки можете ставить температуру стирки – 40 С (с помощью кнопки «Темп.»)","5"
"Сан. узел","1. Начать до 14:00
2. Вымыть раковины
3. Протереть зеркала
4. Расставить аккуратно посуду над стиральной машинкой
5. Вымыть душевые кабины (стены, пол, душ)
6. Протереть пыль на всех горизонтальных поверхностях (ручки, подоконник, часы, двери и т.д.)
7. Вымыть стены (кафель, туалетные кабинки) (при необходимости)
8. Вымыть унитазы
9. Протереть пол (после вымыть ведро и тряпку)
10.Прополоскать тряпку под тапочницей, выжать её и сложить обратно
11.Почистить все сливы (в душевых кабинах и слив по центру комнаты)
12.Вынести мусор и вставить новый мусорный мешок(в течении дня отслеживать наполняемость, при необходимости выносить)
13.Поддерживать достаточное количество мыла твёрдого и жидкого (В каждом душе по 1-му твердому мылу на подставке и жидкому мылу у перегородки, на раковинах 2 бутылки жидкого мыла)
14.Постирать шторы (по субботам)
15.Протереть тапочницу, помыть тапки с помощью щетки, в ведре с доместосом, промыть их чистой водой и сложить обратно.(по понедельникам)
16.Поддерживать порядок в ящике для инвентаря
17.Прочистить засоры в раковинах (при необходимости)
18.Снять паутину (при наличии)
19.Убрать уличный туалет (те же пункты, понедельник, четверг, суббота)","6"
"1-2 этаж","1. Начать до 14:00
2. Протереть пыль на всех горизонтальных поверхностях 1-го и 2-го этажей (ручки, стулья, компьютер, двери, картины, перила, батареи, зеркала, кулер, столы, скамейки, подоконники, плафоны и т.д.)
3. Вымыть пол 2-го этажа (после вымыть ведро и тряпку)
4. Вымыть лестницу
5. Вымыть пол 1-го этажа (прихожая, детская, мужская раздевалка под лестницей, за скамейками)
6. Вымыть стол и зеркало для нанесения тилаки в мужской раздевалке(следить чтобы в ачаманнице всегда была вода и штампы для тилаки были чистыми, набирать воду и мыть штампы можно в раковине на улице)
7. Сжечь маха мусор и фитильки (при необходимости, по субботам обязательно)
8. Всё убрать по своим местам (игрушки, вёдра, тарелки, вещи, коврики)
9. Ценные вещи, оставленные без присмотра, убрать ящик для потерянных вещей
10.Заменить пакеты в урнах на 1-ом этаже(при необходимости)
11.Навести порядок в тумбе под лестницей
12.Протирать стекла и полки витрины для книг (при необходимости)

После окончания воскресной программы или праздников, нужно обойти территорию

1-го и 2-го этажей и разложить по местам все найденные предметы: - игрушки – в шкаф для игрушек - Ценные вещи – в ящик для потерянных вещей - Мусор – в мусорный мешок на улице - Посуду – к посуде в туалете","7"
"Двор","1. Начать до 14:00
2. Протереть пыль на всех горизонтальных поверхностях (стол, картина, подоконники на красных домах, электросчётчик и т.д.)
3. Вымыть пол (при входе на линолеуме, в гардеробе, под навесом (терраса), а после вымыть ведро и тряпку)
4. Подмести всю территорию двора (кроме сада)
5. Заменить мусорный мешок на входе и в мусорной зоне (если заполнено больше чем на половину)
6. Ведро с прасадом вытряхнуть в бак для прасада (если заполнено больше чем на половину)
7. Помыть раковины
8. Если раковины засорены – прочистить их.
9. Помыть пол в гардеробной
10.Помыть разносы после воскресной программы и отнести их на склад.
11.Вынести весь имеющийся мусор (кроме маха мусора и прасада) на дорогу по вторникам и пятницам и проследить за тем, чтобы мусор забрали (с 6:30 до 7:10)
12.Уборка прилегающей территории (стоянка, возле забора, въездная дорога)
13.Помыть коврики, лежащие у входа в храм
14.Проверка выполненной работы в 15:00","8"
"Ст. раздатчик","Старший раздатчик обязан присутствовать на протяжении всего времени раздачи, контролируя весь процесс. Старший раздатчик садится не ранее 9.30(завтрак) и 13.30(обед), убедившись, что все удовлетворены или прасад закончился. По воскресеньям и в праздничные дни Старший раздатчик руководит раздачей для раздатчиков.","9"
"Раздатчик","1. Подготовка к раздаче проходит с 8:45 до 9:00(завтрак) и с 12:45 до 13:00 (обед)
2. Помыть перед входом на кухню стопы, руки, лицо и сполоснуть рот.
3. Переложить маха-прасад в ковшики и первым делом вымыть посуду и клеенки Божеств (руками, без химии, для жирной посуды можно использовать горчицу)
4. Переложить прасад в раздаточную посуду
5. Помыть всю посуду, в которой готовили (завтрак)
6. Протереть все столы, которые использовались раздатчиками(завтрак)
7. Подготовить посуду для гостей (по необходимости)
8. Перелить чаринамриту в кувшин (обед)
9. Оставить прасад Акруре прабху (обед, на праздниках и по воскресеньям тоже)
10. Подготовить место для вкушения прасада (поставить стол для прасада, разложить коврики, расставить посуду для гостей)

II. Во время раздачи

1. Слушаться старшего раздатчика
2. Всё делать с желанием удовлетворить преданных
3. Раздача прасада начинается со старших преданных 
4. Раздавать быстро, но очень качественно, внимательно и аккуратно
5. Всё делать без желания побыстрей сесть или оставить себе побольше
6. Быть внимательным к просьбам и потребностям преданных и гостей 
7. Стараться предотвратить рассыпание прасада по полу
8. В пустые тарелки по умолчанию нормальную порцию (если кто-то чего-то не хочет, то он должен предупредить старшего раздатчика)
9. Если пришёл новый гость, когда уже все сели, то раздатчикам нужно снова встать и послужить гостю
10.  Во время раздачи нужно соблюдать тишину, стучать по вёдрам половниками и ручками вёдер нельзя
11. Касаться кухонной посудой, посуды преданных – нельзя.(если коснулись, нужно прекратить раздачу и помыть черпак или ложку с навозом)
12.  По окончанию завтрака(обеда) унести всю раздаточную посуду на кухню, не позднее 9.50(завтрак) и 14.00(обед)","10"
